City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,ayr,55.4627,-4.6339,5.94,65,75,8.75,GB,1709929226
315,buryn',51.1991,33.8352,-0.16,75,47,2.88,UA,1709929226
316,urangan,-25.3,152.9,25.76,63,100,9.39,AU,1709929227
317,puerto baquerizo moreno,-0.9,-89.6,30.55,79,40,3.09,EC,1709929227
318,kuta,-8.7233,115.1723,25.97,100,40,3.6,ID,1709929227
319,ringkobing,56.0901,8.244,0.57,71,0,6.4,DK,1709929227
320,la carlota,10.4233,122.9208,24.34,83,100,4.11,PH,1709929228
321,rabaul,-4.1967,152.1721,27.26,80,62,0.79,PG,1709929228
322,buchanan,5.8808,-10.0467,27.41,86,99,2.98,LR,1709929228
323,salalah,17.0151,54.0924,25.09,79,98,2.33,OM,1709929228
324,keetmanshoop,-26.5833,18.1333,29.51,20,0,1.54,NA,1709929229
325,at taj,24.2049,23.2857,21.84,16,0,5.18,LY,1709929229
326,guerrero,17.6667,-100.0,33.21,16,2,2.06,MX,1709929111
327,kerikeri,-35.2268,173.9474,17.23,84,24,1.91,NZ,1709929229
328,sinabang,2.4803,96.3801,24.84,90,100,3.79,ID,1709929229
329,maragogi,-9.0122,-35.2225,28.49,75,75,4.33,BR,1709929051
330,ciudad lazaro cardenas,17.9583,-102.2,27.05,60,43,4.55,MX,1709929230
331,yazd,31.8972,54.3675,17.06,16,0,3.09,IR,1709929230
332,ola,59.5833,151.2833,-17.7,80,100,2.98,RU,1709929230
333,simpang,-1.2667,104.0833,24.19,96,100,1.23,ID,1709929039
334,tchintabaraden,15.8969,5.7985,29.98,9,53,5.35,NE,1709929231
335,hawkesbury,45.6001,-74.616,7.81,44,77,5.26,CA,1709929231
336,vila velha,-20.3297,-40.2925,25.97,83,75,3.09,BR,1709929231
337,port macquarie,-31.4333,152.9167,18.83,73,100,1.02,AU,1709929231
338,afaahiti,-17.75,-149.2833,27.93,82,48,6.29,PF,1709929231
339,harper,4.375,-7.7169,27.06,86,52,3.29,LR,1709929232
340,honfleur,49.4198,0.2329,10.84,74,0,6.17,FR,1709929236
341,ulsteinvik,62.3432,5.8487,3.07,77,10,3.13,NO,1709929236
342,morondava,-20.2833,44.2833,27.66,83,100,3.41,MG,1709929236
343,puerto pilon,9.3644,-79.7933,33.21,70,47,4.41,PA,1709929236
344,velingara,13.15,-14.1167,32.2,19,58,2.92,SN,1709929236
345,shimoda,34.6667,138.95,4.5,72,0,11.11,JP,1709929247
346,coquimbo,-29.9533,-71.3436,21.85,56,0,6.69,CL,1709929190
347,barbacena,-21.2258,-43.7736,24.73,69,40,3.6,BR,1709929257
348,aripuana,-9.1667,-60.6333,26.88,92,98,0.65,BR,1709928992
349,ad dilam,23.9915,47.1627,19.23,34,0,5.1,SA,1709929258
350,ayas,40.0193,32.3322,3.9,74,100,1.1,TR,1709929258
351,cabedelo,-6.9811,-34.8339,30.37,69,100,5.37,BR,1709929084
352,port-vila,-17.7338,168.3219,23.78,100,100,1.54,VU,1709929258
353,kayangel,8.0823,134.7173,27.35,73,100,7.82,PW,1709929261
354,fort mcmurray,56.7268,-111.381,2.77,47,0,3.6,CA,1709929263
355,fort st. john,56.2499,-120.8529,4.94,60,75,5.14,CA,1709929263
356,ghanzi,-21.5667,21.7833,28.12,29,62,4.04,BW,1709929263
357,genhe,50.7833,121.5167,-26.49,100,99,0.47,CN,1709929265
358,jinchang,38.4953,102.1739,-0.33,29,6,1.24,CN,1709929266
359,rio san juan,19.6439,-70.0763,27.36,73,10,6.54,DO,1709929267
360,ulladulla,-35.35,150.4667,18.12,84,0,2.32,AU,1709929267
